Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
LIFEWELL RX PHARMACY,"2200 BUECHEL AVE, LOUISVILLE, KY 40218, USA",ChIJcy2l5aoLaYgRcqEOjfrXkyo,"2200 BUECHEL AVE, 101, LOUISVILLE, KY 40218",71,"2200 BUECHEL AVE, 101, LOUISVILLE, KY 40218"
Trippy’s Smoke Shop,"3840 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJhZ4zHkwLaYgROijeZfmCaZM,"3840 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",79,"3840 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Hometown Liquor Store And Convenience Store,"6620 SIX MILE LN, LOUISVILLE, KY 40218, USA",ChIJNaU5vPYKaYgRdKKC9Ud-1vU,"6620 SIX MILE LN, LOUISVILLE, KY 40218",76,"6620 SIX MILE LN, LOUISVILLE, KY 40218"
BRECKENRIDGE BP,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220, USA",ChIJBe9SOvMKaYgR1SsLYVmiTrY,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220",79,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220"
Marathon Gas,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220, USA",ChIJG61wL_MKaYgR_ttyfx2DYC8,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220",79,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220"
Grab N Go,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220, USA",ChIJLZTONvMKaYgRVsD5e7j4ynQ,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220",79,"3401 BRECKENRIDGE LN, LOUISVILLE, KY 40220"
Yogi Minimart Inc - Minimart,"6620 SIX MILE LN, LOUISVILLE, KY 40218, USA",ChIJo7w8ufYKaYgR2KIA-TjtO-A,"6620 SIX MILE LN, LOUISVILLE, KY 40218",76,"6620 SIX MILE LN, LOUISVILLE, KY 40218"
LIQUOR OUTLET,"3415 BRECKENRIDGE LN, LOUISVILLE, KY 40220, USA",ChIJ2QzcafMKaYgRzY3WohOye4c,"3415 BRECKENRIDGE LN, LOUISVILLE, KY 40220",79,"3415 BRECKENRIDGE LN, LOUISVILLE, KY 40220"
Valvoline Instant Oil Change,"3820 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJ2THIJ34KaYgR5Ew0nOOjD2o,"3840 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",76,"3840 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
INFINITY SMOKE & VAPE - MR FOG DELTA 8 KRATOM,"5909 TERRY RD, LOUISVILLE, KY 40216, USA",ChIJvQJbDtcVaYgRF-ICXuHIzJs,"4950 TERRY RD, UNIT A, 40216",76,"4950 TERRY RD, UNIT A, 40216"
Terry Road Valero,"4950 TERRY RD, LOUISVILLE, KY 40216, USA",ChIJ1SjAfrQVaYgRUEoxBr8Rj08,"4950 TERRY RD, UNIT A, 40216",84,"4950 TERRY RD, UNIT A, 40216"
Murphy USA,"7000 RAGGARD RD, LOUISVILLE, KY 40216, USA",ChIJcZH9sj0UaYgRq7_IzNywXo0,"7000 RAGGARD RD, LOUISVILLE, KY 40216",75,"7000 RAGGARD RD, LOUISVILLE, KY 40216"
River Mart,"7207 LOWER HUNTERS TRACE, LOUISVILLE, KY 40258, USA",ChIJr9yxzzAUaYgRlh0wJfbMW7U,"7207 LOWER HUNTERS TRCE, LOUISVILLE, KY 40258",79,"7207 LOWER HUNTERS TRCE, LOUISVILLE, KY 40258"
Hunter's Market & Liquors,"6303 LOWER HUNTERS TRACE, LOUISVILLE, KY 40258, USA",ChIJuWJRXiIUaYgRv9EyfHKipGU,"6303 LOWER HUNTERS TRCE, LOUISVILLE, KY 40258",79,"6303 LOWER HUNTERS TRCE, LOUISVILLE, KY 40258"
Dollar Tree,"4856 CANE RUN RD, LOUISVILLE, KY 40216, USA",ChIJR2r_V20UaYgRIVLP2ALcqRM,"4350 CANE RUN RD,",74,"4350 CANE RUN RD,"
ACE Liquor store,"4950 TERRY RD, LOUISVILLE, KY 40216, USA",ChIJU90siCgVaYgRwU0XYMtbZ-8,"4950 TERRY RD, UNIT A, 40216",84,"4950 TERRY RD, UNIT A, 40216"
Zips Car Wash,"4860 CANE RUN RD, LOUISVILLE, KY 40216, USA",ChIJ7WxIkvQVaYgRWhovIyjzpRA,"4350 CANE RUN RD,",74,"4350 CANE RUN RD,"
Walgreens,"4926 CANE RUN RD, LOUISVILLE, KY 40216, USA",ChIJ_V5U_BIUaYgR_-hbFr1xE3I,"4926 CANE RUN RD, LOUISVILLE, KY 40216",76,"4926 CANE RUN RD, LOUISVILLE, KY 40216"
TERRY LIQUOR,"5925 TERRY RD, LOUISVILLE, KY 40216, USA",ChIJf8ekkhcVaYgRUv5krHYwDdw,"4950 TERRY RD, UNIT A, 40216",76,"4950 TERRY RD, UNIT A, 40216"
Walgreens Pharmacy,"4926 CANE RUN RD, LOUISVILLE, KY 40216, USA",ChIJDa0NehMUaYgRB03YFpBZYUI,"4926 CANE RUN RD, LOUISVILLE, KY 40216",76,"4926 CANE RUN RD, LOUISVILLE, KY 40216"
COVID-19 Drive-Thru Testing at Walgreens,"4926 CANE RUN RD, LOUISVILLE, KY 40216, USA",ChIJAZEt7xgVaYgRu0ijsbBFRuI,"4926 CANE RUN RD, LOUISVILLE, KY 40216",76,"4926 CANE RUN RD, LOUISVILLE, KY 40216"
Smokers Outlet,"3501 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJCQUjw60LaYgRA7iCUul0bJE,"3501 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",79,"3501 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Cox's Spirit Shoppe,"3920 RUCKRIEGEL PKWY, LOUISVILLE, KY 40299, USA",ChIJk0InnPigaYgRCLOvHyARWqs,"3920 RUCKRIEGEL PKY, 106, JEFFERSONTOWN, KY 40299",69,"3920 RUCKRIEGEL PKY, 106, JEFFERSONTOWN, KY 40299"
Enjoy Smoke Shop,"3751 RUCKRIEGEL PKWY, LOUISVILLE, KY 40299, USA",ChIJ1-_iwrOhaYgRYtUjYskJozc,"3751 RUCKRIEGEL PARKWAY PARK, UNIT A, 40299",78,"3751 RUCKRIEGEL PARKWAY PARK, UNIT A, 40299"
Cox's Spirit Shoppe and Smoker's Outlet J-Town,"2803 PATTI LN, LOUISVILLE, KY 40299, USA",ChIJS9ov9kKgaYgRRtC-lsC7nfU,"2803 PATTI LN, JEFFERSONTOWN, KY 40299",69,"2803 PATTI LN, JEFFERSONTOWN, KY 40299"
Derb E Cigs,"9909 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJ66G1CVCgaYgR6T8i58WsB5A,"9909 TAYLORSVILLE ROAD, 40299",96,"9909 TAYLORSVILLE ROAD, 40299"
