Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
Kroger,"2200 BROWNSBORO RD, LOUISVILLE, KY 40206, USA",ChIJD6drE0BzaYgRKCFILOniokU,38.2578606,-85.7042357,"2200 BROWNSBORO RD, LOUISVILLE, KY 40206",77,"2200 BROWNSBORO RD, LOUISVILLE, KY 40206"
Kayrouz Delicatessen,"3202 FRANKFORT AVE, LOUISVILLE, KY 40206, USA",ChIJp8vJIKZ1aYgR1Ezj1da9Y04,38.254120199999996,-85.6753014,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206",74,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206"
Shell,"2912 BROWNSBORO RD, LOUISVILLE, KY 40206, USA",ChIJYRWmYGBzaYgRePdO9-e2yJY,38.260058199999996,-85.6869323,"2912 BROWNSBORO RD, LOUISVILLE, KY 40206",77,"2912 BROWNSBORO RD, LOUISVILLE, KY 40206"
Super Usa / Marathon,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206, USA",ChIJny-48rx0aYgRnQC-wzmr1cs,38.254173,-85.67231,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206",77,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206"
Sunoco Gas,"3420 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJmR4ro750aYgRPWLT8KLD73M,38.2537892,-85.6682647,"3420 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3420 FRANKFORT AVE, ST MATTHEWS, KY 40207"
Boone’s BP,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206, USA",ChIJcbAkWiR1aYgRuyz8RG0VDjk,38.253978599999996,-85.6722791,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206",77,"3320 FRANKFORT AVE, LOUISVILLE, KY 40206"
EZ Mart,"3420 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJ9THyfIB1aYgR6XeuQeOjCTM,38.2537897,-85.6682644,"3420 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3420 FRANKFORT AVE, ST MATTHEWS, KY 40207"
Captain's Cellar,"2915 BROWNSBORO RD, LOUISVILLE, KY 40206, USA",ChIJu32H82BzaYgREUVJ_WrBXLI,38.2603291,-85.68749540000002,"2912 BROWNSBORO RD, LOUISVILLE, KY 40206",74,"2912 BROWNSBORO RD, LOUISVILLE, KY 40206"
The 7 Leaf Cannabis Dispensary,"104 CANNONS LN, LOUISVILLE, KY 40206, USA",ChIJW_zxIdp1aYgR_ah-8OgK6UQ,38.2536078,-85.6704164,"104 CANNONS LN, LOUISVILLE, KY 40206",74,"104 CANNONS LN, LOUISVILLE, KY 40206"
Cox's Spirit Shoppe,"296 N HUBBARDS LN, LOUISVILLE, KY 40207, USA",ChIJE8w2qB91aYgRjOf4RRA304Y,38.2590806,-85.6410908,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207",75,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207"
Evergreen Liquors,"4232 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJeVQrCiR1aYgR_J4tbQt53WU,38.2509093,-85.63731349999999,"14010 SHELBYVILLE RD, 40245",82,"14010 SHELBYVILLE RD, 40245"
Circle K,"4300 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJCZwDfSR1aYgRPnGirDTXPmU,38.250946,-85.635925,"14010 SHELBYVILLE RD, 40245",82,"14010 SHELBYVILLE RD, 40245"
Kroger Fuel Center,"296 N HUBBARDS LN, LOUISVILLE, KY 40207, USA",ChIJT9Fp7xh1aYgRjNE8AfzH0bI,38.259389899999995,-85.6412453,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207",75,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207"
State Liquors,"3786 LEXINGTON RD, LOUISVILLE, KY 40207, USA",ChIJIw0a-MN0aYgRUsD6-c2U36A,38.2522562,-85.6582979,"3786 LEXINGTON RD, LOUISVILLE, KY 40207",77,"3786 LEXINGTON RD, LOUISVILLE, KY 40207"
Kroger Liquor Store,"291 N HUBBARDS LN SUITE B49, LOUISVILLE, KY 40207, USA",ChIJu5D5Fxd1aYgRXSfjgvjOYRM,38.2580514,-85.6378512,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207",70,"296 N HUBBARDS LN, ST MATTHEWS, KY 40207"
CVS Pharmacy,"3721 LEXINGTON RD, LOUISVILLE, KY 40207, USA",ChIJq20aS8F0aYgRRVBBOldQc2k,38.252282,-85.65979999999999,"3782 LEXINGTON RD, LOUISVILLE, KY 40207",73,"3782 LEXINGTON RD, LOUISVILLE, KY 40207"
Walgreens Pharmacy,"4240 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJ92kJciR1aYgRxZN01_nWVvw,38.2508467,-85.6368154,"14010 SHELBYVILLE RD, 40245",86,"14010 SHELBYVILLE RD, 40245"
Walgreens,"4240 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJ8dfQdSR1aYgRy_3rkSvm_uM,38.2508404,-85.6368186,"14010 SHELBYVILLE RD, 40245",86,"14010 SHELBYVILLE RD, 40245"
CVS Pharmacy,"4174 WESTPORT RD, LOUISVILLE, KY 40207, USA",ChIJg4rcwh91aYgRL_2PdzDT7Mo,38.2581363,-85.64268419999999,"9240 WESPORT RD, 40242",74,"9240 WESPORT RD, 40242"
Walgreens Pharmacy,"3700 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJebkOJsF0aYgR5X-Vm2o6blo,38.2531216,-85.6611688,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207"
CVS,"3721 LEXINGTON RD, LOUISVILLE, KY 40207, USA",ChIJO1M-s8Z0aYgRmxsf6HT3nZ0,38.252399,-85.6599645,"3782 LEXINGTON RD, LOUISVILLE, KY 40207",73,"3782 LEXINGTON RD, LOUISVILLE, KY 40207"
COVID-19 Drive-Thru Testing at Walgreens,"3700 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJx3TCJcF0aYgRGp60im3WDys,38.2531417,-85.6610922,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207"
Walgreens,"3700 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJcTJ328B0aYgRmzxgr6v4Vr0,38.253100499999995,-85.6611595,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207"
COVID-19 Drive-Thru Testing at Walgreens,"4240 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJA7QYlDp1aYgRUHw3Fn-H66w,38.250930000000004,-85.6368246,"14010 SHELBYVILLE RD, 40245",86,"14010 SHELBYVILLE RD, 40245"
Target,"4174 WESTPORT RD, LOUISVILLE, KY 40207, USA",ChIJg4rcwh91aYgRWohFuGwnlPM,38.2581363,-85.64268419999999,"9240 WESPORT RD, 40242",74,"9240 WESPORT RD, 40242"
Walgreens Photo,"3700 FRANKFORT AVE, LOUISVILLE, KY 40207, USA",ChIJebkOJsF0aYgRuQssv1x8sGE,38.25322260000001,-85.6613661,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207",76,"3700 FRANKFORT AVE, ST MATTHEWS, KY 40207"
Rainbow Blossom St Matthews,"3738 LEXINGTON RD, LOUISVILLE, KY 40207, USA",ChIJ89fr_8N0aYgRxOw148ex6ac,38.2520587,-85.6590579,"3782 LEXINGTON RD, LOUISVILLE, KY 40207",73,"3782 LEXINGTON RD, LOUISVILLE, KY 40207"
Oxmoor Smoke Shoppe,"7900 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJA6_bV1p1aYgRDSSNiQda628,38.2474699,-85.61014039999999,"9409 SHELBYVILLE RD, LYNDON, KY 40222",77,"9409 SHELBYVILLE RD, LYNDON, KY 40222"
Thorntons,"7515 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJ6Rr5vER1aYgRmKk6EhhVluo,38.249834,-85.6137454,"7515 SHELBYVILLE RD, NORWOOD, KY 40222",82,"7515 SHELBYVILLE RD, NORWOOD, KY 40222"
Thorntons,"4500 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJBSDBriR1aYgRM0-6nU0RZAM,38.25075,-85.63315999999999,"14010 SHELBYVILLE RD, 40245",82,"14010 SHELBYVILLE RD, 40245"
Thorntons,"7515 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJtz8CvUR1aYgRzkGd_k1gnnE,38.24981,-85.61402,"7515 SHELBYVILLE RD, NORWOOD, KY 40222",82,"7515 SHELBYVILLE RD, NORWOOD, KY 40222"
bp,"7401 NEW LA GRANGE RD, LOUISVILLE, KY 40222, USA",ChIJ5bz8vkN1aYgRRIvXATPxOlQ,38.2522151,-85.6162879,"8062 NEW LAGRANGE RD, 40222",79,"8062 NEW LAGRANGE RD, 40222"
Liquor World,"808 LYNDON LN #101, LOUISVILLE, KY 40222, USA",ChIJM8eRemR1aYgRQBveEJaAKL0,38.262569299999996,-85.60864579999999,"808 LYNDON LN, LYNDON, KY 40222",73,"808 LYNDON LN, LYNDON, KY 40222"
Trader Joe's Wine,"4600 SHELBYVILLE RD STE 112 STE 112, LOUISVILLE, KY 40207, USA",ChIJYccXbzt1aYgR1jqNRK10aiU,38.250067699999995,-85.6313239,"4500 SHELBYVILLE RD, ST MATTHEWS, KY 40207",67,"4500 SHELBYVILLE RD, ST MATTHEWS, KY 40207"
Bourbon Creek Louisville,"7900 SHELBYVILLE RD STE B05, LOUISVILLE, KY 40222, USA",ChIJn_wjnDZ1aYgRHvZU6-4Qf2Y,38.2470462,-85.60991659999999,"14010 SHELBYVILLE RD, 40245",71,"14010 SHELBYVILLE RD, 40245"
The Vitamin Shoppe,"4600 SHELBYVILLE RD, LOUISVILLE, KY 40207, USA",ChIJz8XbY8d1aYgRGQp6udVdW6o,38.2503473,-85.6287828,"14010 SHELBYVILLE RD, 40245",82,"14010 SHELBYVILLE RD, 40245"
Smoke Town,"9814 LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJYVVU8LahaYgRY7nvO4L1Enw,38.2259582,-85.5757824,"9814 LINN STATION RD, JEFFERSONTOWN, KY 40223",75,"9814 LINN STATION RD, JEFFERSONTOWN, KY 40223"
popular smoke & vape,"1969 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJTTR3seWhaYgRxrvga3-PfCs,38.2171054,-85.5857597,"1969 S HURSTBOURNE PKY, FOREST HILLS, KY 40220",77,"1969 S HURSTBOURNE PKY, FOREST HILLS, KY 40220"
Shop Today 2 Smoke Shop,"1850 S HURSTBOURNE PKWY #162, LOUISVILLE, KY 40220, USA",ChIJTbhK-BagaYgRAQzU4O_5NuE,38.2205526,-85.5850152,"1850 S HURSTBOURNE PKY, 162, HURSTBOURNE ACRES, KY 40220",74,"1850 S HURSTBOURNE PKY, 162, HURSTBOURNE ACRES, KY 40220"
Triangle Smoke Shop,"119 S HURSTBOURNE PKWY STE 106, LOUISVILLE, KY 40222, USA",ChIJ4XUVjyCfaYgR44YltRGj8eU,38.2445494,-85.576253,"119 S HURSTBOURNE PKY, LOUISVILLE, KY 40222",73,"119 S HURSTBOURNE PKY, LOUISVILLE, KY 40222"
Liquor Barn,"1850 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJTbhK-BagaYgRl7sS7CI3n3A,38.220482,-85.5824701,"1925 S HURSTBOURNE PKY, FOREST HILLS, KY 40220",71,"1925 S HURSTBOURNE PKY, FOREST HILLS, KY 40220"
Speedway,"9416 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJYalJLJKfaYgRdiZIJqpEd2A,38.2459931,-85.576381,"9416 SHELBYVILLE RD, LOUISVILLE, KY 40222",78,"9416 SHELBYVILLE RD, LOUISVILLE, KY 40222"
Speedway,"4547 TAYLORSVILLE RD, LOUISVILLE, KY 40220, USA",ChIJR-aFVQmgaYgRJii5S-ZWTAs,38.2186048,-85.59768720000001,"9909 TAYLORSVILLE ROAD, 40299",74,"9909 TAYLORSVILLE ROAD, 40299"
Thorntons,"1335 S HURSTBOURNE PKWY, LOUISVILLE, KY 40222, USA",ChIJR85ndyOgaYgRZNQ8uMTxVOA,38.225339,-85.577238,"1335 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40222",76,"1335 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40222"
Circle K,"1330 S HURSTBOURNE PKWY, LOUISVILLE, KY 40222, USA",ChIJB8Jo3COgaYgRLPK5CqPDu0I,38.225843499999996,-85.5788104,"1330 S HURSTBOURNE PKY, HURSTBOURNE, KY 40222",78,"1330 S HURSTBOURNE PKY, HURSTBOURNE, KY 40222"
Speedy Mart,"1620 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJW6Z_Ij2gaYgRBghzJiKWAU0,38.2218862,-85.58020359999999,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220",76,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220"
Marathon,"1620 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJJ6csFj2gaYgRDz5iWJjBVlI,38.2216792,-85.58007719999999,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220",76,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220"
Shell,"1330 S HURSTBOURNE PKWY, LOUISVILLE, KY 40222, USA",ChIJ88xJpiOgaYgRPgtx99ZobQA,38.225823,-85.578492,"1330 S HURSTBOURNE PKY, HURSTBOURNE, KY 40222",78,"1330 S HURSTBOURNE PKY, HURSTBOURNE, KY 40222"
Hurstbourne Food Mart,"1620 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJze4cFj2gaYgRGu_jUNvShPw,38.221726,-85.580137,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220",76,"1620 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40220"
Kroger Fuel Center,"9080 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJZ2TdVW2gaYgRaUlEnHhf3YM,38.2132795,-85.5928879,"9909 TAYLORSVILLE ROAD, 40299",89,"9909 TAYLORSVILLE ROAD, 40299"
Marathon,"4548 TAYLORSVILLE RD, LOUISVILLE, KY 40220, USA",ChIJs0D65AugaYgRdXABrIkSgA8,38.217861,-85.59818229999999,"4548 TAYLORSVILLE RD, JEFFERSONTOWN, KY 40220",75,"4548 TAYLORSVILLE RD, JEFFERSONTOWN, KY 40220"
Kroger Fuel Center,"9812 LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJ069ueiSgaYgRcsVtFNO0o-w,38.22690310000001,-85.5750809,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223",75,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223"
Five Points Food Mart,"4548 TAYLORSVILLE RD, LOUISVILLE, KY 40220, USA",ChIJQ-Cn4wugaYgRbBdP-zhnjeQ,38.2179718,-85.5981254,"4548 TAYLORSVILLE RD, JEFFERSONTOWN, KY 40220",75,"4548 TAYLORSVILLE RD, JEFFERSONTOWN, KY 40220"
Liquor Store LLC,"1925 S HURSTBOURNE PKWY, LOUISVILLE, KY 40220, USA",ChIJv2SLfrmhaYgRYU_pSRzysFI,38.2158669,-85.5840116,"1925 S HURSTBOURNE PKY, FOREST HILLS, KY 40220",77,"1925 S HURSTBOURNE PKY, FOREST HILLS, KY 40220"
375 Park Avenue Spirits,"10101 LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJMWaT0NKhaYgR6Btky_gZHVo,38.2251117,-85.5696222,"9814 LINN STATION RD, JEFFERSONTOWN, KY 40223",60,"9814 LINN STATION RD, JEFFERSONTOWN, KY 40223"
Kroger Liquor Store,"9812 1/2, LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJ6-V4qaGhaYgRaXxUIuck8QU,38.2258984,-85.576138,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223",71,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223"
Kroger,"9812 LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJ5aEs4IsMaYgRYt_O5o-3nvo,38.2259916,-85.57627219999999,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223",75,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223"
CVS Pharmacy,"4640 TAYLORSVILLE RD, LOUISVILLE, KY 40220, USA",ChIJ3b8U_wygaYgRmA2HMteUSNo,38.2152241,-85.59513249999999,"9909 TAYLORSVILLE ROAD, 40299",78,"9909 TAYLORSVILLE ROAD, 40299"
Walgreens Pharmacy,"9409 SHELBYVILLE RD STE 10, LOUISVILLE, KY 40222, USA",ChIJA813tpOfaYgRhjBlvgL_lsI,38.2472233,-85.5780095,"14010 SHELBYVILLE RD, 40245",76,"14010 SHELBYVILLE RD, 40245"
GeriMed,"9707 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJB2fb45CfaYgR2YZJCXlQUMk,38.2474705,-85.5739028,"14010 SHELBYVILLE RD, 40245",75,"14010 SHELBYVILLE RD, 40245"
Kroger Pharmacy,"9080 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJPzlgOkyfaYgR4Na0vnzqyKQ,38.212583099999996,-85.5920067,"9909 TAYLORSVILLE ROAD, 40299",89,"9909 TAYLORSVILLE ROAD, 40299"
Walgreens,"2360 STONY BROOK DR, LOUISVILLE, KY 40220, USA",ChIJr_xx9HSgaYgR5ZrM_dlB5jE,38.2107917,-85.5988974,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220",75,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220"
Walgreens Pharmacy,"2360 STONY BROOK DR, LOUISVILLE, KY 40220, USA",ChIJT02M9nSgaYgRzQON8P53BMA,38.210783299999996,-85.5988864,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220",75,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220"
Kroger Pharmacy,"9812 LINN STATION RD, LOUISVILLE, KY 40223, USA",ChIJ0Vb4RySgaYgRxL0mdfoNN5s,38.225951699999996,-85.57624340000001,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223",75,"9812 LINN STATION RD, JEFFERSONTOWN, KY 40223"
Walgreens,"9409 SHELBYVILLE RD STE 10, LOUISVILLE, KY 40222, USA",ChIJHbAVyJOfaYgRE4AP1kB70k8,38.246922,-85.5778574,"14010 SHELBYVILLE RD, 40245",76,"14010 SHELBYVILLE RD, 40245"
COVID-19 Drive-Thru Testing at Walgreens,"9409 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJAZd-mUSfaYgR-nycjPTKVJQ,38.2470851,-85.57801309999999,"9409 SHELBYVILLE RD, LYNDON, KY 40222",83,"9409 SHELBYVILLE RD, LYNDON, KY 40222"
Kroger Marketplace,"9080 TAYLORSVILLE RD, LOUISVILLE, KY 40299, USA",ChIJifKXi_yiaYgRu0ZTSl1g23Q,38.212635899999995,-85.592,"9909 TAYLORSVILLE ROAD, 40299",89,"9909 TAYLORSVILLE ROAD, 40299"
COVID-19 Drive-Thru Testing at Walgreens,"2360 STONY BROOK DR, LOUISVILLE, KY 40220, USA",ChIJAQCQ9nSgaYgRqqFDE8R1byY,38.2107988,-85.5988672,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220",75,"2360 STONY BROOK DR, JEFFERSONTOWN, KY 40220"
CBD American Shaman,"841 S HURSTBOURNE PKWY, LOUISVILLE, KY 40222, USA",ChIJu6l6FnShaYgRUNVqvwlssLI,38.23493980000001,-85.5759368,"841 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40222",75,"841 S HURSTBOURNE PKY, JEFFERSONTOWN, KY 40222"
CBD Hemp Wellness Farm,"2304 HURSTBOURNE VILLAGE DR SUITE 1000, LOUISVILLE, KY 40299, USA",ChIJFVuXcB-haYgR1AvC1r12e7U,38.215163700000005,-85.5792591,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",65,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Shelby Smoke Shop,"10426 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJA2geG52faYgRnXC7ZjHddyE,38.2442722,-85.5613766,"14010 SHELBYVILLE RD, 40245",81,"14010 SHELBYVILLE RD, 40245"
Trippy's Smoke Shop,"11801 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJm5_Gf0GfaYgRD60PLJN8pl0,38.247755,-85.5380064,"11517 SHELBYVILLE ROAD, 40243",89,"11517 SHELBYVILLE ROAD, 40243"
Cox's Spirit Shoppe,"12610 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJg-4MqE2faYgRRtvRCuLzdss,38.2439618,-85.5226393,"14010 SHELBYVILLE RD, 40245",88,"14010 SHELBYVILLE RD, 40245"
Circle K,"11721 GATEWORTH WAY, LOUISVILLE, KY 40299, USA",ChIJtXBV9t2haYgRolgKvHxCcvk,38.225820399999996,-85.54077269999999,"11721 GATEWORTH WAY, MIDDLETOWN, KY 40299",78,"11721 GATEWORTH WAY, MIDDLETOWN, KY 40299"
Speedway,"1830 BLANKENBAKER PKWY, LOUISVILLE, KY 40299, USA",ChIJAeuKP-qhaYgRUJwypZ4vP-Q,38.214976,-85.5398775,"1830 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299",75,"1830 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299"
Thorntons,"1804 BLANKENBAKER PKWY, LOUISVILLE, KY 40299, USA",ChIJZYcBHOqhaYgRZPpJ_2AkMl0,38.215976999999995,-85.53974,"1804 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299",75,"1804 BLANKENBAKER PKY, JEFFERSONTOWN, KY 40299"
BP -Shelbyville RD,"10600 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJsVp0CnefaYgRTakTYCeAqoQ,38.244731400000006,-85.5587953,"14010 SHELBYVILLE RD, 40245",85,"14010 SHELBYVILLE RD, 40245"
Dongar,"10600 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJiVZmpHefaYgROCP8Ricjnbo,38.244656299999995,-85.55885789999999,"14010 SHELBYVILLE RD, 40245",85,"14010 SHELBYVILLE RD, 40245"
FiveStar,"11550 BLUEGRASS PKWY, LOUISVILLE, KY 40299, USA",ChIJZba2CcKhaYgRXeLbMdYC8dU,38.2165678,-85.5406034,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",74,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299"
M&s Foodmart 2020,"11550 BLUEGRASS PKWY, LOUISVILLE, KY 40299, USA",ChIJPR3d_-mhaYgR8oJ4bltDrNs,38.216389,-85.540588,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",74,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299"
CVS,"10490 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJSSp8v3efaYgRPszOIBsIjmg,38.2447308,-85.5602852,"14010 SHELBYVILLE RD, 40245",85,"14010 SHELBYVILLE RD, 40245"
Dollar Tree,"11820 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJrfauYUGfaYgRYm1jd8-6kIo,38.246301599999995,-85.5380581,"14010 SHELBYVILLE RD, 40245",88,"14010 SHELBYVILLE RD, 40245"
Liquor World,"719 SPECKMAN RD, LOUISVILLE, KY 40243, USA",ChIJ19F5XxChaYgRm-ATQ_d_Jm8,38.2322144,-85.5425207,"719 SPECKMAN RD, MIDDLETOWN, KY 40243",75,"719 SPECKMAN RD, MIDDLETOWN, KY 40243"
Mahant Stonefield,"10402 SHELBYVILLE RD #7, LOUISVILLE, KY 40223, USA",ChIJGwMFMoKfaYgROrZx6awdylE,38.244572399999996,-85.56206449999999,"14010 SHELBYVILLE RD, 40245",81,"14010 SHELBYVILLE RD, 40245"
CVS Pharmacy,"10490 SHELBYVILLE RD, LOUISVILLE, KY 40223, USA",ChIJg4L4wXefaYgRPfhF3l_Y0QM,38.2447308,-85.5602852,"14010 SHELBYVILLE RD, 40245",85,"14010 SHELBYVILLE RD, 40245"
Option Care Health,"11403 BLUEGRASS PKWY #400, LOUISVILLE, KY 40299, USA",ChIJ7-v_VNuhaYgRyq0aQCfXqc4,38.2219176,-85.5458179,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",64,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299"
Middletown Pharmacy & Wellness,"11601 SHELBYVILLE RD SUITE A, LOUISVILLE, KY 40243, USA",ChIJJ86lYOmfaYgRYYcnDhS6xEQ,38.2464241,-85.5420256,"14010 SHELBYVILLE RD, 40245",77,"14010 SHELBYVILLE RD, 40245"
Pharmacy Alternatives LLC,"11401 BLUEGRASS PKWY, LOUISVILLE, KY 40299, USA",ChIJJ1wtxC-gaYgRrhOjAIp9Wl4,38.2211571,-85.5449057,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",68,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299"
Keller Patrick,"12101 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJP-rFPEafaYgROk8Tih8v3_U,38.2489372,-85.5310221,"11517 SHELBYVILLE ROAD, 40243",89,"11517 SHELBYVILLE ROAD, 40243"
Compound Care Pharmacy,"12121 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJJa7W0UifaYgR6P2lCR7e4C8,38.2479344,-85.528131,"11517 SHELBYVILLE ROAD, 40243",89,"11517 SHELBYVILLE ROAD, 40243"
Medical Care Pharmacy LLC,"11420 WATTERSON CT STE 600, LOUISVILLE, KY 40299, USA",ChIJEWQopsmhaYgRekQL78cqOpM,38.213910999999996,-85.55368930000002,"8300 WATTERSON TRL, LOUISVILLE, KY 40299",63,"8300 WATTERSON TRL, LOUISVILLE, KY 40299"
Derb E Cigs,"11517 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJt9ZSr2mfaYgRS4aNEM_0SjM,38.245848699999996,-85.5430212,"11517 SHELBYVILLE ROAD, 40243",96,"11517 SHELBYVILLE ROAD, 40243"
502 Hemp Wellness Center,"201 MOSER RD SUITE B, LOUISVILLE, KY 40223, USA",ChIJ5XdqRhGfaYgRSs5DY9YSYE8,38.2443436,-85.5591395,"209 E MAIN ST, SUITE 200, 40202",62,"209 E MAIN ST, SUITE 200, 40202"
Medosi,"10368 BLUEGRASS PKWY, LOUISVILLE, KY 40299, USA",ChIJPXbCoBihaYgRykQ9ZiUPqZY,38.2222186,-85.5629123,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299",65,"11550 BLUEGRASS PKY, JEFFERSONTOWN, KY 40299"
CBD Bulk Sales | CBD Bulk Sales,"802 LILY CREEK RD, LOUISVILLE, KY 40243, USA",ChIJH0IGCuChaYgRKwiwvidpymw,38.230364,-85.53937409999999,"9905 LA GRANGE RD, LYNDON, KY 40223",61,"9905 LA GRANGE RD, LYNDON, KY 40223"
DZ Delta 8,"201 MOSER RD STE B, LOUISVILLE, KY 40223, USA",ChIJM56IcwmfaYgR4xTwY9Wt0rg,38.244355899999995,-85.558987,"201 MOSER RD, DOUGLASS HILLS, KY 40223",63,"201 MOSER RD, DOUGLASS HILLS, KY 40223"
Crush Global,"11414 SHELBYVILLE RD, LOUISVILLE, KY 40243, USA",ChIJVVU5wWifaYgRRXG-UoJTuyo,38.2443282,-85.5447434,"11517 SHELBYVILLE ROAD, 40243",89,"11517 SHELBYVILLE ROAD, 40243"
