Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
Party Mart,"4808 BROWNSBORO CENTER, LOUISVILLE, KY 40207, USA",ChIJm2vK2Kl1aYgRuuf2SaFkDuE,38.277777799999996,-85.63666669999999,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207",74,"4808 BROWNSBORO CTR, WINDY HILLS, KY 40207"
Thorntons,"4900 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJccVn8Kh1aYgRehRrcuuhOaE,38.28078,-85.63472,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",77,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Hemptopia,"1901 RUDY LN STE 2, LOUISVILLE, KY 40207, USA",ChIJZaKhfGB1aYgRXfYoCE3ofUU,38.27988930000001,-85.63875999999999,"1901 RUDY LN, LOUISVILLE, KY 40207",64,"1901 RUDY LN, LOUISVILLE, KY 40207"
Shell,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJ4zybP2J1aYgRtLxbI8ZdpBQ,38.2835499,-85.6281477,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",77,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
Speedway,"1415 LYNDON LN, LOUISVILLE, KY 40222, USA",ChIJVRorunB1aYgRB6VYdTFgm_g,38.270970399999996,-85.6137821,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222",65,"1415 LYNDON LN, GRAYMOOR/DEVONDALE, KY 40222"
Estepp's,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJpd4BzMB1aYgRr2KEpX91-V8,38.2835483,-85.6281261,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",77,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
CVS,"2311 LIME KILN CT, LOUISVILLE, KY 40222, USA",ChIJV2YLj6N1aYgRT1CcwONiLyw,38.284635699999995,-85.62768539999999,"2121 CRUMS LN, SHIVELY, KY 40216",60,"2121 CRUMS LN, SHIVELY, KY 40216"
Kroger,"2219 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJge1_16V1aYgRqavkWY-7Ozw,38.283668899999995,-85.630517,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",77,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
Walgreens,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJEyXQuKR1aYgRxmxUPmIqgJM,38.2873008,-85.62943159999999,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Valvoline Instant Oil Change,"4935 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJB3G9baZ1aYgRa6ghJTR9vFM,38.282131,-85.63176,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222",74,"4950 BROWNSBORO RD, LOUISVILLE, KY 40222"
